,version,app,par,dataset,variant,cycles,DRAM_rd,DRAM_wr,PeakLink,SRAM_rd,SRAM_wr,dim_0_2,dim_0_4
75,v25,SpMV,16,B_2250_0_4,HBM2_network,18353.0,887.471,0.491687,0.4365498828529396,434.76510652209447,0.4916907317604751,,2250.0
76,v25,SpMV,16,B_2500_0_4,HBM2_network,22723.0,884.554,0.447826,0.4355938916516305,434.7672402411653,0.4478281917000396,,2500.0
77,v25,SpMV,16,B_250_0_2,HBM2_network,387.0,264.423,2.9729,0.16020671834625322,108.05167958656332,2.976744186046512,250.0,
78,v25,SDDMM,2,B_1700_0_4,HBM2_network  	DEADLOCK: 39049675,,,,,,,,
79,v25,SDDMM,8,B_1100_0_4,HBM2_network  	DEADLOCK: 3082644,,,,,,,,
80,v25,SDDMM,8,B_900_0_4,HBM2_network  	DEADLOCK: 1695128,,,,,,,,
81,v25,SpMV,16,B_250_0_4,HBM2_network,459.0,440.668,2.5077599999999998,0.24618736383442266,186.0653594771242,2.5098039215686274,,250.0
82,v25,SDDMM,4,B_1300_0_4,HBM2_network  	DEADLOCK: 8883419,,,,,,,,
83,v25,SpMV,16,B_3250_0_2,HBM2_network,19168.0,886.0039999999999,0.681131,0.4381260434056761,436.2888146911519,0.6811352253756261,3250.0,
84,v25,SpMV,16,B_2750_0_4,HBM2_network,27540.0,883.7180000000001,0.404357,0.43326071169208413,434.1098039215686,0.4043572984749456,,2750.0
85,v25,SpMV,16,B_3000_0_2,HBM2_network,16587.0,872.2130000000001,0.729224,0.4317839271718816,429.2858262494725,0.7292457948996202,3000.0,
86,v25,SDDMM,2,B_1900_0_4,HBM2_network  	DEADLOCK: 54186781,,,,,,,,
87,v25,SpMV,16,B_3000_0_4,HBM2_network,32586.0,888.294,0.3712,0.4366599153010495,437.0518627631498,0.3712023568403609,,3000.0
88,v25,SpMV,16,B_2750_0_2,HBM2_network,13905.0,875.12,0.8008270000000001,0.4348076231571377,429.73721682847895,0.8008629989212513,2750.0,
89,v25,SpMV,16,B_3500_0_2,HBM2_network,22428.0,878.5,0.62493,0.4336543606206528,433.01765650080256,0.6249331193151418,3500.0,
90,v25,SpMV,16,B_3500_0_4,HBM2_network,43940.0,896.801,0.31897600000000004,0.4393718707328175,441.80537096040047,0.3189804278561675,,3500.0
91,v25,SpMV,16,B_3250_0_4,HBM2_network,38248.0,887.666,0.341344,0.4365457017360385,437.2627065467476,0.3413511817611378,,3250.0
92,v25,SpMV,16,B_4000_0_4,HBM2_network,57275.0,898.4810000000001,0.281586,0.4396682671322567,443.1136796158882,0.2815888258402444,,4000.0
93,v25,SpMV,16,B_3750_0_2,HBM2_network,25654.0,882.079,0.591244,0.43622826849614094,434.81546737350897,0.5912528260700086,3750.0,
94,v25,SpMV,16,B_3750_0_4,HBM2_network,50711.0,891.488,0.299105,0.4379128788625742,439.8322257498373,0.2991067026877798,,3750.0
95,v25,SpMV,16,B_4000_0_2,HBM2_network,29151.0,883.566,0.5532520000000001,0.4343247229940654,435.5847826832698,0.5532571781414016,4000.0,
96,v25,SpMV,16,B_4500_0_2,HBM2_network,36510.0,893.345,0.49432200000000004,0.43933168994795946,440.2237195288962,0.4943303204601479,4500.0,
97,v25,SpMV,16,B_4500_0_4,HBM2_network,72130.0,903.285,0.250213,0.4420906696242895,445.7312629973659,0.2502148897823375,,4500.0
98,v25,SpMV,16,B_4750_0_4,HBM2_network,80791.0,897.797,0.235273,0.4389969179735367,443.8487455285861,0.2352737309848869,,4750.0
